side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
10,1,2.682695795279727e-08,0.01,9,77632,31.90593897,3.54510433,815366
10,1,3.7275937203149377e-08,0.01,10,75708,34.572443355555556,3.4572443355555555,815366
10,1,5.1794746792312124e-08,0.01,10,73750,29.82936667777778,2.982936667777778,804614
10,1,7.196856730011513e-08,0.01,11,71758,31.92604207222222,2.902367461111111,790790
10,1,1e-07,0.01,11,69728,31.022874208333334,2.8202612916666667,790790
10,1,1.389495494373136e-07,0.01,12,67662,32.840388626666666,2.7366990522222223,702310
10,1,1.9306977288832497e-07,0.01,13,65562,34.47290126222222,2.6517616355555558,696166
10,1,2.6826957952797275e-07,0.01,14,63427,35.915673255,2.5654052325,693250
10,1,3.727593720314938e-07,0.01,15,61266,37.17000879166667,2.478000586111111,693250
10,1,5.179474679231202e-07,0.01,16,59076,38.23076791111111,2.3894229944444443,693250
10,1,7.196856730011514e-07,0.01,17,56860,39.096494543333336,2.2997937966666666,611506
10,1,1e-06,0.01,19,54629,41.98160015805556,2.2095579030555554,611506
10,1,1.389495494373136e-06,0.01,21,52387,44.496419082500005,2.1188770991666668,611506
10,1,1.9306977288832498e-06,0.01,23,50145,46.648514791388884,2.0281962952777777,605874
10,1,2.6826957952797274e-06,0.01,26,47912,50.384867231111116,1.937879508888889,605874
10,1,3.727593720314938e-06,0.01,30,45701,55.45357629166667,1.8484525430555556,605874
10,1,5.179474679231202e-06,0.01,35,43526,53.666295375000004,1.533322725,671746
10,1,7.196856730011514e-06,0.01,41,41399,59.7941471325,1.4583938325,584370
10,1,1e-05,0.01,50,39333,69.28069087499999,1.3856138175,584370
10,1,1.3894954943731361e-05,0.01,62,37334,81.54203079,1.315194045,508914
10,1,1.9306977288832496e-05,0.01,81,35382,100.960827165,1.246429965,508914
10,1,2.682695795279722e-05,0.01,113,33267,132.4273896825,1.1719238025,508914
10,1,3.727593720314938e-05,0.01,194,26827,183.34136430444445,0.9450585788888889,502736
10,1,5.1794746792312125e-05,0.01,374,19307,254.37526930444443,0.6801477788888889,502736
10,1,7.196856730011514e-05,0.01,724,13895,354.39451575,0.4894951875,500620
10,1,0.0001,0.01,1402,10001,493.95166210499997,0.3523193025,431980
10,1,0.0001389495494373136,0.01,2716,7197,688.6165178122222,0.2535406913888889,431098
10,1,0.00019306977288832496,0.01,5263,5180,960.4281541272222,0.1824868238888889,431098
10,1,0.0002682695795279722,0.01,10209,3728,1340.7961564799998,0.13133472,424726
10,1,0.0003727593720314938,0.01,19818,2683,1873.236649185,0.0945219825,424726
10,1,0.0005179474679231202,0.01,38503,1931,2619.3795500663887,0.06803053138888888,423844
10,1,0.0007196856730011514,0.01,74873,1390,3666.7145400227782,0.04897245388888889,423844
10,1,0.001,0.01,145723,1001,4377.932247098056,0.03004283638888889,413376
10,1,0.001389495494373136,0.01,284387,720,6145.721564583333,0.021610416666666667,403648
10,1,0.0019306977288832496,0.01,555879,518,8643.183145611667,0.015548677222222222,342208
10,1,0.002682695795279722,0.01,1087948,373,12181.49385731111,0.011196761111111111,341486
10,1,0.003727593720314938,0.01,2131464,269,17213.416700506667,0.008075865555555556,337390
